id,O23I,O28L,O53I,O58L,O98AI,O83I,O88L,C05SE,O113I,O118L,LibSum,IntSum,iv_se,iv_ai,iv_comb
4,4,2,4,5,4,5,2,3,4,2,11,17,low,medium,"low, medium"
5,2,4,4,3,5,3,4,2,4,5,16,13,low,high,"low, high"
8,2,3,4,3,1,2,2,2,2,3,11,10,low,low,"low, low"
9,2,2,1,2,1,1,2,5,1,2,8,5,high,low,"high, low"
10,3,3,4,4,3,4,2,5,4,4,13,15,high,medium,"high, medium"
11,2,3,2,2,2,2,3,2,2,2,10,8,low,medium,"low, medium"
13,2,3,2,2,1,2,2,2,2,3,10,8,low,low,"low, low"
18,4,3,3,2,2,4,3,5,4,2,10,15,high,medium,"high, medium"
19,2,3,2,1,1,2,3,2,4,3,10,10,low,low,"low, low"
20,3,4,5,4,5,2,5,1,4,4,17,14,low,high,"low, high"
21,2,1,2,1,2,3,1,5,2,2,5,9,high,medium,"high, medium"
22,4,4,4,2,5,4,3,5,4,3,12,16,high,high,"high, high"
23,2,2,2,3,2,2,3,5,2,1,9,8,high,high,"high, high"
24,3,3,2,3,2,3,3,5,2,3,12,10,high,medium,"high, medium"
25,4,4,5,2,4,4,4,4,5,3,13,18,high,high,"high, high"
26,5,2,2,4,1,5,1,5,5,1,8,17,high,low,"high, low"
27,3,4,4,4,5,3,4,1,4,3,15,14,low,medium,"low, medium"
28,4,3,5,4,3,5,3,5,5,3,13,19,high,medium,"high, medium"
29,3,4,4,3,5,3,3,4,3,3,13,13,high,high,"high, high"
30,4,4,5,4,5,5,5,1,4,3,16,18,low,high,"low, high"
31,2,1,2,2,1,2,1,5,4,1,5,10,high,medium,"high, medium"
32,4,2,3,2,1,2,5,3,4,4,13,13,low,low,"low, low"
34,3,3,4,3,4,3,4,2,3,3,13,13,low,medium,"low, medium"
35,2,3,4,4,2,5,3,5,4,3,13,15,low,low,"low, low"
36,2,3,2,2,5,5,3,5,4,3,11,13,high,low,"high, low"
37,5,4,5,4,5,5,5,5,5,3,16,20,high,medium,"high, medium"
38,2,2,2,4,3,2,3,3,2,5,14,8,low,medium,"low, medium"
